idx	label	count	predict	radius_LInf	radius_L2	radius_cohen	correct	time
1	8	3921150.0	8	0.01876388374866284	1.04	1.03	1	0:05:52.115984
2	8	3849620.0	8	0.01652665145555304	0.916	0.888	1	0:05:51.452473
3	0	3798877.0	0	0.015534330680383368	0.861	0.819	1	0:05:51.763212
4	6	3304648.0	6	0.009706701400750584	0.515	0.468	1	0:05:56.765227
5	6	3220499.0	6	0.008966971368351376	0.472	0.429	1	0:05:55.813468
6	1	1786366.0	-1	0.0	0.0	0.0	0	0:05:44.699126
7	6	2150570.0	6	0.0008660254037844387	0.06	0.0463	1	0:05:57.940341
8	3	3015352.0	3	0.0073973003239920804	0.383	0.342	1	0:05:56.753248
9	1	2120641.0	1	0.0006621485899768522	0.0494	0.0369	1	0:05:58.492689
10	0	2940858.0	0	0.0070544986016607405	0.356	0.313	1	0:05:56.177595
11	9	3985102.0	9	0.023996120563193824	1.33	1.33	1	0:05:45.218538
12	5	1572354.0	-1	0.0	0.0	0.0	0	0:05:45.384591
13	7	3999789.0	7	0.03446059419225579	1.91	1.91	1	0:05:45.733863
14	9	3964208.0	9	0.02147021313548921	1.19	1.18	1	0:05:53.174022
15	8	3792364.0	8	0.014920896019369391	0.827	0.812	1	0:05:51.550439
16	5	3441911.0	5	0.011637216363353395	0.564	0.54	1	0:05:56.243842
17	7	3962921.0	7	0.02147021313548921	1.19	1.17	1	0:05:52.026618
18	8	3802086.0	8	0.015371950917173787	0.852	0.823	1	0:05:51.466874
19	6	3922454.0	6	0.018944305707784596	1.05	1.03	1	0:05:52.856839
20	7	3189678.0	7	0.00873242282149309	0.444	0.415	1	0:05:56.513400
21	0	0	2	0.0	0.0	0.0	0	0:00:00.021140
22	4	0	0	0.0	0.0	0.0	0	0:00:00.020581
23	9	3995693.0	9	0.027604559745628983	1.53	1.53	1	0:05:45.420600
24	5	0	4	0.0	0.0	0.0	0	0:00:00.020735
25	2	3686535.0	2	0.013513604738219678	0.737	0.707	1	0:05:57.943972
26	4	2434539.0	4	0.003247595264191645	0.166	0.137	1	0:05:56.494272
27	0	0	7	0.0	0.0	0.0	0	0:00:00.021173
28	9	3209111.0	9	0.009111308935648783	0.452	0.424	1	0:05:56.856655
29	6	3883030.0	6	0.01759114101437141	0.975	0.944	1	0:05:51.899837
30	6	2571665.0	6	0.004239916039361314	0.212	0.182	1	0:05:57.174714
31	5	1253189.0	-1	0.0	0.0	0.0	0	0:05:45.867704
32	4	0	8	0.0	0.0	0.0	0	0:00:00.020643
33	5	0	3	0.0	0.0	0.0	0	0:00:00.020587
34	9	3998129.0	9	0.029589201295968322	1.64	1.64	1	0:05:45.881404
35	2	0	3	0.0	0.0	0.0	0	0:00:00.020749
36	4	0	7	0.0	0.0	0.0	0	0:00:00.020557
37	1	0	9	0.0	0.0	0.0	0	0:00:00.020595
38	9	3803920.0	9	0.01535390872126161	0.851	0.826	1	0:05:52.103089
39	5	2686861.0	5	0.005069857051321402	0.25	0.221	1	0:05:56.871866
40	4	2950127.0	4	0.007216878364870323	0.343	0.317	1	0:05:56.022626
41	6	3917687.0	6	0.01876388374866284	1.04	1.02	1	0:05:52.677356
42	5	2282927.0	5	0.0021650635094610966	0.104	0.0881	1	0:05:57.779334
43	6	3218084.0	6	0.00898501356426355	0.48	0.428	1	0:05:55.992904
44	0	1735630.0	-1	0.0	0.0	0.0	0	0:05:45.030884
45	9	3969866.0	9	0.022011479012854482	1.22	1.21	1	0:05:53.251939
46	3	3749174.0	3	0.014181165986970183	0.786	0.765	1	0:05:52.178474
47	9	0	3	0.0	0.0	0.0	0	0:00:00.021081
48	7	2957962.0	7	0.007036456405748565	0.344	0.32	1	0:05:56.116622
49	6	2249834.0	6	0.0017753520777580994	0.103	0.0776	1	0:05:57.513641
50	9	3635881.0	9	0.012737790313996118	0.695	0.666	1	0:05:56.916425
51	8	3033692.0	8	0.007631848870850366	0.4	0.35	1	0:05:56.493016
52	0	0	2	0.0	0.0	0.0	0	0:00:00.021369
53	3	0	5	0.0	0.0	0.0	0	0:00:00.020595
54	8	3980170.0	8	0.02327443272670679	1.29	1.29	1	0:05:52.988085
55	8	3516936.0	8	0.011799596126562978	0.609	0.584	1	0:05:56.868238
56	7	0	5	0.0	0.0	0.0	0	0:00:00.021254
57	7	0	1	0.0	0.0	0.0	0	0:00:00.020615
58	4	0	3	0.0	0.0	0.0	0	0:00:00.020612
59	6	0	5	0.0	0.0	0.0	0	0:00:00.020627
60	7	3971835.0	7	0.022011479012854482	1.22	1.22	1	0:05:52.780233
61	3	3176933.0	3	0.008570043058283508	0.447	0.41	1	0:05:57.132859
62	6	3698894.0	6	0.013712068893253613	0.738	0.717	1	0:05:57.966852
63	3	0	9	0.0	0.0	0.0	0	0:00:00.021623
64	6	3434350.0	6	0.010987697310515066	0.57	0.536	1	0:05:56.796552
65	2	3423959.0	2	0.01087944413504201	0.579	0.53	1	0:05:56.688230
66	1	2098563.0	1	0.0005376574381828391	0.039	0.0299	1	0:05:58.030801
67	2	3888864.0	2	0.017609183210283586	0.976	0.955	1	0:05:51.364846
68	3	1781509.0	-1	0.0	0.0	0.0	0	0:05:45.429585
69	7	2041726.0	7	0.00021650635094610967	0.0146	0.0121	1	0:05:59.873863
70	2	0	0	0.0	0.0	0.0	0	0:00:00.021238
71	6	3412917.0	6	0.010699022175920253	0.567	0.524	1	0:05:56.781702
72	8	3841359.0	8	0.016292102908694754	0.903	0.876	1	0:05:51.761894
73	8	3992364.0	8	0.02598076211353316	1.44	1.44	1	0:05:45.497524
74	0	2499342.0	0	0.0041497050598004355	0.193	0.158	1	0:05:57.406386
75	2	3048873.0	2	0.007758144242235597	0.41	0.356	1	0:05:56.692897
76	9	1831594.0	-1	0.0	0.0	0.0	0	0:05:45.155656
77	3	2625313.0	3	0.00469097093716571	0.232	0.2	1	0:05:57.319857
78	3	3077155.0	3	0.008118988160479113	0.427	0.367	1	0:05:56.429375
79	8	3883489.0	8	0.01762722540619576	0.977	0.945	1	0:05:51.829098
80	8	3967981.0	8	0.022011479012854482	1.22	1.2	1	0:05:51.656645
81	1	3957029.0	1	0.020928947258123935	1.16	1.15	1	0:05:52.190575
82	1	3928871.0	1	0.018944305707784596	1.05	1.05	1	0:05:46.552717
83	7	3016983.0	7	0.007487511303552959	0.379	0.343	1	0:05:56.602312
84	2	3376763.0	2	0.010085587514906277	0.537	0.505	1	0:05:56.311499
85	5	0	7	0.0	0.0	0.0	0	0:00:00.021101
86	2	3415859.0	2	0.010987697310515066	0.561	0.526	1	0:05:56.692790
87	7	0	9	0.0	0.0	0.0	0	0:00:00.021197
88	8	3974079.0	8	0.022372322931098	1.24	1.24	1	0:05:53.273654
89	9	3623188.0	9	0.012737790313996118	0.706	0.656	1	0:05:51.275705
90	0	3292866.0	0	0.009995376535345397	0.485	0.463	1	0:05:57.105874
91	3	0	2	0.0	0.0	0.0	0	0:00:00.021323
92	8	3995541.0	8	0.027424137786507225	1.52	1.52	1	0:05:44.979953
93	6	3267897.0	6	0.009273688698858364	0.477	0.451	1	0:05:57.544679
94	4	3352610.0	4	0.010302093865852385	0.562	0.492	1	0:05:56.730402
95	6	0	3	0.0	0.0	0.0	0	0:00:00.021225
96	6	3732447.0	6	0.014036828419672777	0.778	0.748	1	0:05:51.897566
97	0	0	8	0.0	0.0	0.0	0	0:00:00.021204
98	0	4000000.0	0	0.041677472557126116	2.31	2.32	1	0:05:45.072481
99	7	3972027.0	7	0.02219190097197624	1.23	1.23	1	0:05:53.632185
100	4	0	5	0.0	0.0	0.0	0	0:00:00.021203
101	5	0	6	0.0	0.0	0.0	0	0:00:00.020615
102	6	3371197.0	6	0.010608811196359374	0.54	0.502	1	0:05:56.927847
103	3	3881138.0	3	0.01751897223072271	0.971	0.941	1	0:05:52.435096
104	1	3997694.0	1	0.029228357377724806	1.62	1.62	1	0:05:45.007784
105	1	3968845.0	1	0.021831057053732724	1.21	1.21	1	0:05:52.351066
106	3	0	2	0.0	0.0	0.0	0	0:00:00.021150
107	6	3712505.0	6	0.013730111089165789	0.761	0.73	1	0:05:52.455235
108	8	0	3	0.0	0.0	0.0	0	0:00:00.021193
109	7	3999990.0	7	0.03933198708854326	2.18	2.19	1	0:05:45.343699
110	4	1318095.0	-1	0.0	0.0	0.0	0	0:05:45.809752
111	0	3933599.0	0	0.01984641550339339	1.1	1.06	1	0:05:51.934921
112	6	0	2	0.0	0.0	0.0	0	0:00:00.020978
113	2	3059700.0	2	0.008010734985006058	0.412	0.36	1	0:05:57.142206
