idx	label	count	predict	radiusR	radius_L1	radius_L2	radius_cohen	correct	time
1	8	165047.0	8	0.0	1.54	0.984	0.925	1	0:00:24.118880
2	8	183607.0	8	0.0	1.96	1.43	1.38	1	0:00:25.048970
3	0	0	8	0.0	0.0	0.0	0.0	0	0:00:00.021019
4	6	91533.0	-1	0.0	0.0	0.0	0.0	0	0:00:17.938716
5	6	181205.0	6	0.0	1.81	1.38	1.3	1	0:00:24.094889
6	1	0	3	0.0	0.0	0.0	0.0	0	0:00:00.020736
7	6	0	4	0.0	0.0	0.0	0.0	0	0:00:00.020443
8	3	0	2	0.0	0.0	0.0	0.0	0	0:00:00.020407
9	1	0	9	0.0	0.0	0.0	0.0	0	0:00:00.020433
10	0	150294.0	0	0.0	1.27	0.734	0.67	1	0:00:24.379187
11	9	142817.0	9	0.0	1.1	0.634	0.556	1	0:00:23.881290
12	5	0	6	0.0	0.0	0.0	0.0	0	0:00:00.020679
13	7	194218.0	7	0.0	1.88	1.88	1.88	1	0:00:18.633339
14	9	176697.0	9	0.0	1.76	1.24	1.18	1	0:00:24.663616
15	8	135833.0	8	0.0	1.03	0.515	0.456	1	0:00:23.946171
16	5	103069.0	5	0.0	0.0291	0.0346	0.0298	1	0:00:24.997843
17	7	0	3	0.0	0.0	0.0	0.0	0	0:00:00.020928
18	8	175730.0	8	0.0	1.85	1.19	1.16	1	0:00:24.745584
19	6	159094.0	6	0.0	1.52	0.851	0.816	1	0:00:24.070137
20	7	93307.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.067150
21	0	136884.0	0	0.0	1.21	0.489	0.471	1	0:00:24.538793
22	4	0	0	0.0	0.0	0.0	0.0	0	0:00:00.020811
23	9	176784.0	9	0.0	1.68	1.28	1.18	1	0:00:24.536302
24	5	0	2	0.0	0.0	0.0	0.0	0	0:00:00.020706
25	2	121047.0	2	0.0	0.721	0.318	0.258	1	0:00:23.637497
26	4	91833.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.095482
27	0	0	7	0.0	0.0	0.0	0.0	0	0:00:00.020573
28	9	166920.0	9	0.0	1.58	1.02	0.962	1	0:00:24.506126
29	6	170686.0	6	0.0	1.58	1.12	1.04	1	0:00:24.399433
30	6	121992.0	6	0.0	0.733	0.326	0.27	1	0:00:23.723403
31	5	0	2	0.0	0.0	0.0	0.0	0	0:00:00.020700
32	4	97641.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.091025
33	5	0	3	0.0	0.0	0.0	0.0	0	0:00:00.020517
34	9	195697.0	9	0.0	2.0	2.0	2.0	1	0:00:18.770778
35	2	0	1	0.0	0.0	0.0	0.0	0	0:00:00.020682
36	4	0	6	0.0	0.0	0.0	0.0	0	0:00:00.020446
37	1	0	9	0.0	0.0	0.0	0.0	0	0:00:00.020468
38	9	95858.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.197406
39	5	0	8	0.0	0.0	0.0	0.0	0	0:00:00.020559
40	4	0	0	0.0	0.0	0.0	0.0	0	0:00:00.020452
41	6	171060.0	6	0.0	1.66	1.1	1.05	1	0:00:24.674780
42	5	0	7	0.0	0.0	0.0	0.0	0	0:00:00.020688
43	6	0	4	0.0	0.0	0.0	0.0	0	0:00:00.020447
44	0	118261.0	0	0.0	0.653	0.271	0.222	1	0:00:24.089318
45	9	162321.0	9	0.0	1.54	0.918	0.874	1	0:00:24.087889
46	3	0	5	0.0	0.0	0.0	0.0	0	0:00:00.020713
47	9	0	8	0.0	0.0	0.0	0.0	0	0:00:00.020440
48	7	0	4	0.0	0.0	0.0	0.0	0	0:00:00.020437
49	6	84040.0	-1	0.0	0.0	0.0	0.0	0	0:00:17.982482
50	9	194957.0	9	0.0	1.94	1.94	1.94	1	0:00:28.477036
51	8	121504.0	8	0.0	0.737	0.324	0.264	1	0:00:23.546443
52	0	0	6	0.0	0.0	0.0	0.0	0	0:00:00.020735
53	3	59494.0	-1	0.0	0.0	0.0	0.0	0	0:00:17.961788
54	8	194127.0	8	0.0	1.87	1.87	1.87	1	0:00:18.602426
55	8	172238.0	8	0.0	1.74	1.12	1.07	1	0:00:24.619841
56	7	130597.0	7	0.0	0.985	0.414	0.384	1	0:00:24.077100
57	7	0	1	0.0	0.0	0.0	0.0	0	0:00:00.020670
58	4	0	2	0.0	0.0	0.0	0.0	0	0:00:00.020435
59	6	0	2	0.0	0.0	0.0	0.0	0	0:00:00.020456
60	7	151192.0	7	0.0	1.35	0.724	0.684	1	0:00:24.512760
61	3	128523.0	3	0.0	0.854	0.43	0.357	1	0:00:23.947483
62	6	0	1	0.0	0.0	0.0	0.0	0	0:00:00.020723
63	3	0	9	0.0	0.0	0.0	0.0	0	0:00:00.020452
64	6	135799.0	6	0.0	0.967	0.545	0.456	1	0:00:23.843323
65	2	64147.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.043380
66	1	78033.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.118764
67	2	0	0	0.0	0.0	0.0	0.0	0	0:00:00.020513
68	3	100337.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.161701
69	7	0	9	0.0	0.0	0.0	0.0	0	0:00:00.020551
70	2	0	0	0.0	0.0	0.0	0.0	0	0:00:00.020450
71	6	123209.0	6	0.0	0.734	0.384	0.286	1	0:00:23.773363
72	8	179043.0	8	0.0	1.81	1.3	1.24	1	0:00:24.790348
73	8	186380.0	8	0.0	2.06	1.52	1.48	1	0:00:25.291648
74	0	0	9	0.0	0.0	0.0	0.0	0	0:00:00.020721
75	2	106416.0	2	0.0	0.335	0.0854	0.0718	1	0:00:24.441082
76	9	106859.0	9	0.0	0.333	0.101	0.0774	1	0:00:24.510022
77	3	124629.0	3	0.0	0.768	0.397	0.305	1	0:00:23.850833
78	3	104527.0	3	0.0	0.205	0.0585	0.0481	1	0:00:24.686074
79	8	170719.0	8	0.0	1.53	1.16	1.04	1	0:00:24.117877
80	8	175954.0	8	0.0	1.71	1.24	1.16	1	0:00:24.564357
81	1	182853.0	1	0.0	1.95	1.4	1.36	1	0:00:25.074582
82	1	155609.0	1	0.0	1.55	0.774	0.756	1	0:00:24.707742
83	7	88748.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.076540
84	2	168851.0	2	0.0	1.58	1.07	1.0	1	0:00:24.510637
85	5	0	7	0.0	0.0	0.0	0.0	0	0:00:00.020748
86	2	0	3	0.0	0.0	0.0	0.0	0	0:00:00.020451
87	7	0	8	0.0	0.0	0.0	0.0	0	0:00:00.020445
88	8	185865.0	8	0.0	1.98	1.52	1.46	1	0:00:24.545517
89	9	104494.0	9	0.0	0.14	0.0691	0.0477	1	0:00:24.556744
90	0	117495.0	0	0.0	0.658	0.25	0.212	1	0:00:24.164590
91	3	0	4	0.0	0.0	0.0	0.0	0	0:00:00.020791
92	8	184619.0	8	0.0	2.01	1.45	1.41	1	0:00:25.182125
93	6	85407.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.096526
94	4	110350.0	4	0.0	0.435	0.168	0.121	1	0:00:24.218616
95	6	0	3	0.0	0.0	0.0	0.0	0	0:00:00.020721
96	6	102961.0	6	0.0	0.0278	0.0358	0.0285	1	0:00:25.073561
97	0	91478.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.091633
98	0	199998.0	0	0.0	3.6	3.85	3.86	1	0:00:28.649448
99	7	95951.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.071086
100	4	68575.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.163111
101	5	0	7	0.0	0.0	0.0	0.0	0	0:00:00.020679
102	6	113128.0	6	0.0	0.544	0.178	0.157	1	0:00:24.248885
103	3	191965.0	3	0.0	2.47	1.75	1.73	1	0:00:25.102429
104	1	193604.0	1	0.0	1.83	1.83	1.84	1	0:00:18.656132
105	1	198824.0	1	0.0	2.48	2.49	2.49	1	0:00:28.560431
106	3	0	0	0.0	0.0	0.0	0.0	0	0:00:00.020769
107	6	168405.0	6	0.0	1.51	1.09	0.992	1	0:00:24.044028
108	8	126587.0	8	0.0	0.883	0.373	0.331	1	0:00:23.900896
109	7	0	5	0.0	0.0	0.0	0.0	0	0:00:00.020784
110	4	85099.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.064438
111	0	186972.0	0	0.0	2.36	1.51	1.5	1	0:00:25.590183
112	6	154407.0	6	0.0	1.38	0.785	0.736	1	0:00:24.092754
113	2	135437.0	2	0.0	0.986	0.52	0.451	1	0:00:23.870085
114	1	96374.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.097677
115	3	100237.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.175475
116	0	161346.0	0	0.0	1.54	0.897	0.856	1	0:00:24.413411
117	4	0	9	0.0	0.0	0.0	0.0	0	0:00:00.020734
118	2	84089.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.109168
119	7	0	5	0.0	0.0	0.0	0.0	0	0:00:00.020525
120	8	165780.0	8	0.0	1.5	1.02	0.94	1	0:00:24.173836
121	3	0	4	0.0	0.0	0.0	0.0	0	0:00:00.020718
122	1	114354.0	1	0.0	0.593	0.195	0.172	1	0:00:24.136937
123	2	136250.0	2	0.0	1.04	0.513	0.462	1	0:00:24.056944
124	8	0	0	0.0	0.0	0.0	0.0	0	0:00:00.020643
125	0	0	6	0.0	0.0	0.0	0.0	0	0:00:00.020508
126	8	83778.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.070984
127	3	87346.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.148811
128	5	0	3	0.0	0.0	0.0	0.0	0	0:00:00.020575
129	2	0	6	0.0	0.0	0.0	0.0	0	0:00:00.020490
130	4	105385.0	4	0.0	0.233	0.086	0.0589	1	0:00:24.463671
131	1	154959.0	1	0.0	1.44	0.781	0.745	1	0:00:24.731545
132	8	0	9	0.0	0.0	0.0	0.0	0	0:00:00.020983
133	9	197000.0	9	0.0	2.14	2.15	2.15	1	0:00:28.529958
134	1	0	6	0.0	0.0	0.0	0.0	0	0:00:00.020763
135	2	0	3	0.0	0.0	0.0	0.0	0	0:00:00.020515
136	9	177352.0	9	0.0	1.98	1.22	1.2	1	0:00:25.129392
137	7	137021.0	7	0.0	1.04	0.536	0.473	1	0:00:23.949284
138	2	0	6	0.0	0.0	0.0	0.0	0	0:00:00.020771
139	9	0	8	0.0	0.0	0.0	0.0	0	0:00:00.020510
140	6	86569.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.074626
141	5	147367.0	5	0.0	1.22	0.689	0.624	1	0:00:24.407169
142	6	170894.0	6	0.0	1.66	1.1	1.05	1	0:00:24.602078
143	3	0	5	0.0	0.0	0.0	0.0	0	0:00:00.020923
144	8	178062.0	8	0.0	1.79	1.28	1.22	1	0:00:24.712202
145	7	112139.0	7	0.0	0.514	0.173	0.144	1	0:00:24.189077
146	6	160512.0	6	0.0	1.4	0.926	0.841	1	0:00:24.087966
147	2	0	5	0.0	0.0	0.0	0.0	0	0:00:00.020766
148	5	120996.0	5	0.0	0.798	0.278	0.257	1	0:00:24.428137
149	2	0	3	0.0	0.0	0.0	0.0	0	0:00:00.020911
150	8	181650.0	8	0.0	1.89	1.37	1.32	1	0:00:25.036351
151	9	187661.0	9	0.0	2.11	1.57	1.53	1	0:00:24.846145
152	6	45286.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.077167
153	0	127332.0	0	0.0	0.837	0.409	0.341	1	0:00:24.019931
154	0	134994.0	0	0.0	1.15	0.468	0.445	1	0:00:24.393865
155	5	0	6	0.0	0.0	0.0	0.0	0	0:00:00.020705
156	2	148540.0	2	0.0	1.23	0.708	0.642	1	0:00:24.403532
157	9	132849.0	9	0.0	1.02	0.455	0.415	1	0:00:24.150514
158	5	0	3	0.0	0.0	0.0	0.0	0	0:00:00.020679
159	4	0	0	0.0	0.0	0.0	0.0	0	0:00:00.020434
160	2	0	0	0.0	0.0	0.0	0.0	0	0:00:00.020447
161	1	0	9	0.0	0.0	0.0	0.0	0	0:00:00.020398
162	6	0	1	0.0	0.0	0.0	0.0	0	0:00:00.020480
163	6	71070.0	-1	0.0	0.0	0.0	0.0	0	0:00:18.090499
164	8	0	9	0.0	0.0	0.0	0.0	0	0:00:00.020579
