idx	label	count	predict	radiusR	radius_L1	radius_L2	radius_cohen	correct	time
100	2	1142731.0	2	1.63	1.92	1.43	1.36	1	0:17:42.080383
200	4	0	130	0.0	0.0	0.0	0.0	0	0:00:00.093154
300	6	932441.0	6	0.893	1.19	0.793	0.658	1	0:17:33.998414
400	8	741731.0	8	0.439	0.675	0.341	0.233	1	0:17:35.288168
500	10	1236468.0	10	2.29	2.28	2.29	2.29	1	0:17:21.436318
600	12	0	835	0.0	0.0	0.0	0.0	0	0:00:00.093118
700	14	1249607.0	14	3.37	3.31	3.37	3.38	1	0:17:22.958194
800	16	1100905.0	16	1.42	1.68	1.29	1.17	1	0:17:36.212130
900	18	0	99	0.0	0.0	0.0	0.0	0	0:00:00.093343
1000	20	1193634.0	20	1.85	2.19	1.75	1.69	1	0:17:38.460464
1100	22	0	21	0.0	0.0	0.0	0.0	0	0:00:00.093233
1200	24	1249993.0	24	4.15	3.68	4.15	4.16	1	0:17:22.457028
1300	26	791933.0	26	0.592	0.823	0.454	0.338	1	0:17:34.984632
1400	28	0	76	0.0	0.0	0.0	0.0	0	0:00:00.093211
1500	30	1199703.0	30	1.89	2.23	1.81	1.74	1	0:17:38.019147
1600	32	0	103	0.0	0.0	0.0	0.0	0	0:00:00.092350
1700	34	0	76	0.0	0.0	0.0	0.0	0	0:00:00.086349
1800	36	0	35	0.0	0.0	0.0	0.0	0	0:00:00.085834
1900	38	0	44	0.0	0.0	0.0	0.0	0	0:00:00.085314
2000	40	0	46	0.0	0.0	0.0	0.0	0	0:00:00.085342
2100	42	0	48	0.0	0.0	0.0	0.0	0	0:00:00.085256
2200	44	1106855.0	44	1.45	1.68	1.32	1.2	1	0:17:35.790479
2300	46	0	40	0.0	0.0	0.0	0.0	0	0:00:00.093133
2400	48	0	69	0.0	0.0	0.0	0.0	0	0:00:00.088781
2500	50	0	47	0.0	0.0	0.0	0.0	0	0:00:00.087942
2600	52	0	111	0.0	0.0	0.0	0.0	0	0:00:00.085747
2700	54	0	57	0.0	0.0	0.0	0.0	0	0:00:00.085611
2800	56	1249434.0	56	3.28	3.23	3.28	3.28	1	0:17:22.763652
2900	58	0	114	0.0	0.0	0.0	0.0	0	0:00:00.093161
3000	60	0	61	0.0	0.0	0.0	0.0	0	0:00:00.092974
3100	62	0	61	0.0	0.0	0.0	0.0	0	0:00:00.088163
3200	64	1183868.0	64	1.82	2.24	1.65	1.61	1	0:17:37.465184
3300	66	0	42	0.0	0.0	0.0	0.0	0	0:00:00.092013
3400	68	0	111	0.0	0.0	0.0	0.0	0	0:00:00.087326
3500	70	1249984.0	70	4.04	3.66	4.04	4.05	1	0:17:22.370767
3600	72	1224152.0	72	2.09	3.08	2.03	2.03	1	0:17:13.429075
3700	74	0	78	0.0	0.0	0.0	0.0	0	0:00:00.085660
3800	76	510291.0	-1	0.0	0.0	0.0	0.0	0	0:17:12.201414
3900	78	835200.0	78	0.679	0.96	0.539	0.431	1	0:17:35.391880
4000	80	1249985.0	80	4.05	3.66	4.05	4.06	1	0:17:22.824990
4100	82	997878.0	82	1.13	1.36	0.962	0.832	1	0:17:34.274672
4200	84	0	108	0.0	0.0	0.0	0.0	0	0:00:00.093132
4300	86	0	83	0.0	0.0	0.0	0.0	0	0:00:00.092973
4400	88	0	954	0.0	0.0	0.0	0.0	0	0:00:00.088693
4500	90	1190248.0	90	1.86	2.39	1.69	1.66	1	0:17:37.696476
4600	92	0	14	0.0	0.0	0.0	0.0	0	0:00:00.093337
4700	94	1230093.0	94	2.16	2.13	2.14	2.14	1	0:17:22.765558
4800	96	1250000.0	96	4.37	3.7	4.37	4.4	1	0:17:23.468428
4900	98	0	484	0.0	0.0	0.0	0.0	0	0:00:00.093091
5000	100	1249966.0	100	3.91	3.62	3.91	3.92	1	0:17:23.064469
5100	102	0	316	0.0	0.0	0.0	0.0	0	0:00:00.093163
5200	104	0	342	0.0	0.0	0.0	0.0	0	0:00:00.092072
5300	106	1242810.0	106	2.51	2.51	2.51	2.51	1	0:17:22.382467
5400	108	0	470	0.0	0.0	0.0	0.0	0	0:00:00.091938
5500	110	1217122.0	110	2.02	3.12	1.93	1.93	1	0:17:34.091018
5600	112	528133.0	-1	0.0	0.0	0.0	0.0	0	0:17:11.969978
5700	114	0	113	0.0	0.0	0.0	0.0	0	0:00:00.086586
5800	116	1246204.0	116	2.73	2.72	2.73	2.73	1	0:17:24.102931
5900	118	1070139.0	118	1.33	1.61	1.16	1.06	1	0:17:36.501461
6000	120	0	316	0.0	0.0	0.0	0.0	0	0:00:00.093343
6100	122	1246819.0	122	2.78	2.77	2.78	2.78	1	0:17:23.365224
6200	124	0	314	0.0	0.0	0.0	0.0	0	0:00:00.093142
6300	126	0	363	0.0	0.0	0.0	0.0	0	0:00:00.092995
6400	128	1249450.0	128	3.29	3.24	3.29	3.29	1	0:17:23.395113
6500	130	792622.0	130	0.574	0.97	0.374	0.339	1	0:17:35.662559
6600	132	1215097.0	132	2.0	2.95	1.91	1.91	1	0:17:32.345984
6700	134	0	132	0.0	0.0	0.0	0.0	0	0:00:00.093346
6800	136	1250000.0	136	4.37	3.7	4.37	4.4	1	0:17:23.973522
6900	138	1079205.0	138	1.36	1.69	1.16	1.09	1	0:17:36.200958
7000	140	1249992.0	140	4.13	3.68	4.13	4.15	1	0:17:23.432385
7100	142	0	133	0.0	0.0	0.0	0.0	0	0:00:00.093128
7200	144	0	331	0.0	0.0	0.0	0.0	0	0:00:00.092391
7300	146	0	83	0.0	0.0	0.0	0.0	0	0:00:00.088091
7400	148	1249978.0	148	3.99	3.65	3.99	3.99	1	0:17:22.741803
7500	150	0	360	0.0	0.0	0.0	0.0	0	0:00:00.093135
7600	152	1211198.0	152	1.98	2.82	1.87	1.86	1	0:17:38.967571
7700	154	0	260	0.0	0.0	0.0	0.0	0	0:00:00.093360
7800	156	1243156.0	156	2.53	2.52	2.53	2.53	1	0:17:22.572368
7900	158	689979.0	158	0.198	0.484	0.192	0.127	1	0:17:36.733666
8000	160	1023739.0	160	1.13	1.54	0.978	0.907	1	0:17:35.187320
8100	162	953955.0	162	0.968	1.32	0.795	0.713	1	0:17:35.422258
8200	164	0	217	0.0	0.0	0.0	0.0	0	0:00:00.093302
8300	166	0	162	0.0	0.0	0.0	0.0	0	0:00:00.091475
8400	168	0	739	0.0	0.0	0.0	0.0	0	0:00:02.435024
8500	170	0	176	0.0	0.0	0.0	0.0	0	0:00:00.096136
8600	172	741283.0	172	0.408	0.686	0.312	0.232	1	0:17:39.587728
8700	174	0	254	0.0	0.0	0.0	0.0	0	0:00:00.093287
8800	176	1114264.0	176	1.47	1.77	1.31	1.23	1	0:17:36.616184
8900	178	1234639.0	178	2.24	2.23	2.24	2.24	1	0:17:21.767633
9000	180	0	243	0.0	0.0	0.0	0.0	0	0:00:00.093144
9100	182	0	760	0.0	0.0	0.0	0.0	0	0:00:00.092875
9200	184	0	189	0.0	0.0	0.0	0.0	0	0:00:00.088156
9300	186	0	192	0.0	0.0	0.0	0.0	0	0:00:00.086707
9400	188	0	181	0.0	0.0	0.0	0.0	0	0:00:00.085589
9500	190	1249967.0	190	3.91	3.62	3.91	3.92	1	0:17:21.988914
9600	192	0	199	0.0	0.0	0.0	0.0	0	0:00:00.093252
9700	194	0	385	0.0	0.0	0.0	0.0	0	0:00:00.088187
9800	196	0	199	0.0	0.0	0.0	0.0	0	0:00:00.087105
9900	198	0	194	0.0	0.0	0.0	0.0	0	0:00:00.085452
10000	200	877592.0	200	0.762	1.09	0.625	0.527	1	0:17:34.311301
10100	202	982762.0	202	1.06	1.35	0.898	0.789	1	0:17:33.771790
10200	204	1130604.0	204	1.57	1.94	1.36	1.3	1	0:17:36.627691
10300	206	0	213	0.0	0.0	0.0	0.0	0	0:00:00.093316
10400	208	0	210	0.0	0.0	0.0	0.0	0	0:00:00.088669
10500	210	1073712.0	210	1.33	1.57	1.2	1.07	1	0:17:34.475632
10600	212	0	198	0.0	0.0	0.0	0.0	0	0:00:00.092935
10700	214	0	197	0.0	0.0	0.0	0.0	0	0:00:00.086423
10800	216	674939.0	216	0.099	0.436	0.127	0.0968	1	0:17:36.896183
10900	218	1249801.0	218	3.54	3.43	3.54	3.54	1	0:17:22.509971
11000	220	1164340.0	220	1.67	1.97	1.57	1.48	1	0:17:35.330959
11100	222	0	296	0.0	0.0	0.0	0.0	0	0:00:00.093245
11200	224	0	233	0.0	0.0	0.0	0.0	0	0:00:00.088159
11300	226	1056755.0	226	1.24	1.64	1.08	1.01	1	0:17:34.778826
11400	228	750007.0	228	0.429	0.731	0.319	0.25	1	0:17:34.811612
11500	230	1109755.0	230	1.47	1.84	1.27	1.21	1	0:17:36.213622
11600	232	649493.0	232	0.0453	0.295	0.0582	0.0457	1	0:17:38.262455
11700	234	0	205	0.0	0.0	0.0	0.0	0	0:00:00.093306
11800	236	0	522	0.0	0.0	0.0	0.0	0	0:00:00.088816
11900	238	0	241	0.0	0.0	0.0	0.0	0	0:00:00.087285
12000	240	0	238	0.0	0.0	0.0	0.0	0	0:00:00.085237
12100	242	0	172	0.0	0.0	0.0	0.0	0	0:00:00.085388
12200	244	1227597.0	244	2.12	2.09	2.09	2.09	1	0:17:21.959402
12300	246	0	212	0.0	0.0	0.0	0.0	0	0:00:00.093096
12400	248	1172061.0	248	1.74	2.05	1.6	1.53	1	0:17:35.597199
12500	250	0	269	0.0	0.0	0.0	0.0	0	0:00:00.093222
12600	252	496608.0	-1	0.0	0.0	0.0	0.0	0	0:17:11.286468
12700	254	0	197	0.0	0.0	0.0	0.0	0	0:00:00.086349
12800	256	1249189.0	256	3.18	3.15	3.18	3.19	1	0:17:22.215283
12900	258	0	232	0.0	0.0	0.0	0.0	0	0:00:00.093245
13000	260	1230804.0	260	2.15	2.15	2.15	2.15	1	0:17:22.071353
13100	262	1241175.0	262	2.44	2.44	2.44	2.44	1	0:17:22.145539
13200	264	878940.0	264	0.781	1.12	0.603	0.53	1	0:17:34.301095
13300	266	1126342.0	266	1.5	1.79	1.38	1.28	1	0:17:34.020948
13400	268	1120426.0	268	1.49	1.79	1.35	1.26	1	0:17:35.211949
13500	270	1202809.0	270	1.93	2.29	1.83	1.77	1	0:17:37.468722
13600	272	0	277	0.0	0.0	0.0	0.0	0	0:00:00.093263
13700	274	1224004.0	274	2.07	2.03	2.03	2.03	1	0:17:29.155280
